label,method,tolerance,radius,seconds,solution_error_vs_dop853,monodromy_variation_drift,wronskian_drift,variation_error_vs_dop853
RK45_0.001,RK45,0.001,,0.0009141659829765558,4.2759400044612455e-05,0.00010427521246796657,4.39973036967035e-05,0.0001042752125256511
RK45_1e-06,RK45,1e-06,,0.001411666045896709,1.3566816494009938e-06,3.404540205111188e-06,1.0158547387365036e-06,3.4045402591361946e-06
RK45_1e-09,RK45,1e-09,,0.0029031250160187483,1.9223651834827156e-09,4.514954915688517e-09,1.0881964219207984e-09,4.514902958282264e-09
RK45_1e-12,RK45,1e-12,,0.009790374955628067,1.847877229343589e-12,4.9240683243902825e-12,1.0591641202458986e-12,4.598456526820067e-12
contour_1e-08_R4.8,contour,1e-08,4.8,1.264509166998323,0.0010282192570279644,0.0072553095532428905,0.007611163140929762,0.007255309553439472
contour_1e-10_R4.8,contour,1e-10,4.8,1.511784250033088,4.278357924825082e-05,0.00012432705776896965,0.00011831940287236377,0.00012432705789210678
contour_3e-13_R4.8,contour,3e-13,4.8,2.276836542005185,8.422476277026886e-07,1.8762685380806347e-06,1.6676417773385904e-06,1.876268681876988e-06
balanced_contour_1e-08_R4.8,balanced_contour,1e-08,4.8,1.4058652080129832,1.3071265137917008e-06,2.2858451208752404e-06,1.9395363073504916e-06,2.2858452647545675e-06
balanced_contour_1e-10_R4.8,balanced_contour,1e-10,4.8,1.7572418749914505,3.3954278335883044e-08,4.9500834821395954e-08,4.205952713373387e-08,4.950090240471255e-08
balanced_contour_3e-13_R4.8,balanced_contour,3e-13,4.8,2.8914983329596,2.2826544487592712e-09,5.496413923841799e-09,6.073986183133204e-09,5.4966062564758164e-09
balanced_contour_3e-13_R4.2,balanced_contour,3e-13,4.2,2.527135999989696,4.264207606292861e-07,1.0037290077581975e-06,1.1417109478291934e-06,1.003729243048239e-06
balanced_contour_3e-13_R5.4,balanced_contour,3e-13,5.4,3.3455799159710295,9.498596422029757e-11,1.6827163281437603e-10,1.5430543897087258e-10,1.6835581775587287e-10
balanced_contour_3e-13_R6,balanced_contour,3e-13,6.0,3.8451527080032974,6.349214888987658e-11,1.1434945838229072e-10,1.0706338870698078e-10,1.1455214640344738e-10
