label,method,tolerance,radius,seconds,solution_error_vs_dop853,monodromy_variation_drift,wronskian_drift,variation_error_vs_dop853
RK45_0.001,RK45,0.001,,0.0009332920308224857,4.2759400044612455e-05,0.00010427521017554727,4.39973036967035e-05,0.00010427521252535426
RK45_1e-06,RK45,1e-06,,0.0014378750347532332,1.3566816494009938e-06,3.404537819598503e-06,1.0158547387365036e-06,3.4045402591265e-06
RK45_1e-09,RK45,1e-09,,0.002856792008969933,1.9223651834827156e-09,4.5174077696722626e-09,1.0881964219207984e-09,4.514902958269368e-09
RK45_1e-12,RK45,1e-12,,0.009852916991803795,1.847877229343589e-12,8.592951595110153e-12,1.0591641202458986e-12,4.5984565268037996e-12
contour_1e-08_R4.8,contour,1e-08,4.8,1.2716662499587983,0.0010282192570279644,0.007255309552938922,0.007611163140929762,0.007255309553394697
contour_1e-10_R4.8,contour,1e-10,4.8,1.546268541016616,4.278357924825082e-05,0.0001243270585122905,0.00011831940287236377,0.00012432705789176718
contour_3e-13_R4.8,contour,3e-13,4.8,2.3025053330347873,8.422476277026886e-07,1.8762696797703165e-06,1.6676417773385904e-06,1.8762686818766576e-06
balanced_contour_1e-08_R4.8,balanced_contour,1e-08,4.8,1.3728799999807961,1.3071265137917008e-06,2.285846105455158e-06,1.9395363073504916e-06,2.285845264754145e-06
balanced_contour_1e-10_R4.8,balanced_contour,1e-10,4.8,1.7982405420043506,3.3954278335883044e-08,4.949883608282434e-08,4.205952713373387e-08,4.950090240457521e-08
balanced_contour_3e-13_R4.8,balanced_contour,3e-13,4.8,2.916627291997429,2.2826544487592712e-09,5.495991522764231e-09,6.073986183133204e-09,5.496606256440211e-09
balanced_contour_3e-13_R4.2,balanced_contour,3e-13,4.2,2.4716287910123356,4.264207606292861e-07,1.0037322151200363e-06,1.1417109478291934e-06,1.0037292430417364e-06
balanced_contour_3e-13_R5.4,balanced_contour,3e-13,5.4,3.3010312910191715,9.498596422029757e-11,1.668684147690616e-10,1.5430543897087258e-10,1.6835581775539985e-10
balanced_contour_3e-13_R6,balanced_contour,3e-13,6.0,3.785964124952443,6.349214888987658e-11,1.1281495329622928e-10,1.0706338870698078e-10,1.1455214640311337e-10
