method,x_offset,invariant,initial_direction,real,imag
reference,-0.24,s1*s2,0,-82.07669959558837,-27.29381680439175
reference,-0.24,s1*s2,1,37.61166351137317,2.4991222201093515
reference,-0.24,s2*s3,0,2.5998158824758097,8.346404758818535
reference,-0.24,s2*s3,1,-2.706282245752248,-2.788219584077146
reference,-0.24,s3*s4,0,0.8977144104964301,-0.2994320017058886
reference,-0.24,s3*s4,1,-0.35127643933697233,0.14623201464922186
reference,-0.24,s1*s4,0,-8.761857119295124,-14.629431082499755
reference,-0.24,s1*s4,1,5.246688239000222,6.683208337161228
reference,-0.22499999999999998,s1*s2,0,-82.07669959557815,-27.29381680437912
reference,-0.22499999999999998,s1*s2,1,37.61166351136864,2.499122220106024
reference,-0.22499999999999998,s2*s3,0,2.599815882462484,8.346404758831284
reference,-0.22499999999999998,s2*s3,1,-2.7062822457483158,-2.788219584083003
reference,-0.22499999999999998,s3*s4,0,0.8977144105000796,-0.2994320017043228
reference,-0.22499999999999998,s3*s4,1,-0.35127643933843566,0.14623201464892951
reference,-0.22499999999999998,s1*s4,0,-8.761857119307852,-14.62943108244759
reference,-0.22499999999999998,s1*s4,1,5.246688239000638,6.6832083371411475
reference,-0.21,s1*s2,0,-82.07669959558648,-27.293816804370366
reference,-0.21,s1*s2,1,37.611663511370566,2.4991222201025254
reference,-0.21,s2*s3,0,2.5998158824576443,8.346404758835343
reference,-0.21,s2*s3,1,-2.7062822457466797,-2.788219584084604
reference,-0.21,s3*s4,0,0.897714410501615,-0.2994320017040726
reference,-0.21,s3*s4,1,-0.35127643933894703,0.1462320146488851
reference,-0.21,s1*s4,0,-8.761857119316051,-14.629431082429345
reference,-0.21,s1*s4,1,5.24668823900257,6.683208337134508
reference,-0.195,s1*s2,0,-82.07669959559648,-27.29381680437428
reference,-0.195,s1*s2,1,37.61166351137444,2.4991222201029997
reference,-0.195,s2*s3,0,2.5998158824537443,8.346404758839638
