label,method,tolerance,radius,seconds,solution_error_vs_dop853,monodromy_variation_drift,wronskian_drift,variation_error_vs_dop853
RK45_0.001,RK45,0.001,,0.0008601250010542572,4.0252932678423344e-05,8.098765936176801e-05,3.6829751345965285e-05,8.098765945675921e-05
RK45_1e-06,RK45,1e-06,,0.0021262919763103127,3.651206095444322e-07,7.515812428756788e-07,3.4844079283966744e-07,7.515813373297188e-07
RK45_1e-09,RK45,1e-09,,0.002589500043541193,1.2119873533617837e-09,2.7136650456467894e-09,1.0232766630676508e-09,2.7135722538639423e-09
RK45_1e-12,RK45,1e-12,,0.00941999995848164,2.8385060955108046e-13,8.86106554953428e-13,1.017095518312469e-12,7.940235176147808e-13
contour_1e-08_R4.8,contour,1e-08,4.8,0.37672012503026053,0.001028219255066835,0.007255309556205886,0.007611163144059661,0.007255309556402706
contour_1e-10_R4.8,contour,1e-10,4.8,0.44597995904041454,1.1271535200685495e-05,0.00010401043181538231,0.00010813218724527187,0.00010401043200596743
contour_3e-13_R4.8,contour,3e-13,4.8,0.6891944999806583,6.241870251168407e-07,1.345188413094034e-06,1.2117059626664354e-06,1.3451884538622802e-06
balanced_contour_1e-08_R4.8,balanced_contour,1e-08,4.8,0.4070514169870876,2.906924039563347e-07,6.015572519140856e-07,6.027414060240094e-07,6.015573445459538e-07
balanced_contour_1e-10_R4.8,balanced_contour,1e-10,4.8,0.5140073330258019,9.513574148335363e-09,1.492875999957306e-08,1.4015125077860122e-08,1.492881533585469e-08
balanced_contour_3e-13_R4.8,balanced_contour,3e-13,4.8,0.8719012499786913,2.2825196555415228e-09,5.496408230183215e-09,6.074344146090061e-09,5.496601434709009e-09
balanced_contour_3e-13_R4.2,balanced_contour,3e-13,4.2,0.7428059160010889,4.2642025680784164e-07,1.0037282081023924e-06,1.1417106711142144e-06,1.0037284428744034e-06
balanced_contour_3e-13_R5.4,balanced_contour,3e-13,5.4,0.9857620830298401,6.590928422935726e-11,1.2075233933033865e-10,1.1298318880118883e-10,1.2068902009151086e-10
balanced_contour_3e-13_R6,balanced_contour,3e-13,6.0,1.1493835829896852,2.409872393028393e-11,3.987051816528564e-11,3.595475899478671e-11,3.9985571297962313e-11
