label,method,tolerance,radius,seconds,solution_error_vs_dop853,monodromy_variation_drift,wronskian_drift,variation_error_vs_dop853
RK45_0.001,RK45,0.001,,0.0009012079681269825,9.685647580179869e-05,0.00013194147018190998,7.076512608060885e-05,0.00013194146822316833
RK45_1e-06,RK45,1e-06,,0.001309082959778607,2.4939593649649e-06,3.4076534342283608e-06,1.3680740483415906e-06,3.407658165916862e-06
RK45_1e-09,RK45,1e-09,,0.002642542007379234,2.4507539244934446e-09,3.903398259576845e-09,1.131939829701187e-09,3.901950531866787e-09
RK45_1e-12,RK45,1e-12,,0.008575417043175548,1.4081635370904286e-12,6.6906597533012556e-12,7.643255892378027e-13,2.2706950453629418e-12
contour_1e-08_R4.8,contour,1e-08,4.8,1.2993814999936149,0.0006742094059931643,0.003643430635138551,0.003274950216774034,0.003643430630312921
contour_1e-10_R4.8,contour,1e-10,4.8,1.531367333023809,3.696502438809266e-05,8.175674338882545e-05,5.7969311097914404e-05,8.17567429090417e-05
contour_3e-13_R4.8,contour,3e-13,4.8,2.3306445840280503,1.7933492534467062e-06,2.238313689699433e-06,1.0126350333738945e-06,2.2383138331929883e-06
balanced_contour_1e-08_R4.8,balanced_contour,1e-08,4.8,1.3687473330064677,1.3868741009506957e-06,1.550843760879287e-06,1.1452735114361078e-06,1.5508501365260536e-06
balanced_contour_1e-10_R4.8,balanced_contour,1e-10,4.8,1.756642833002843,2.0344410455232205e-08,2.254660834701184e-08,1.4028478718706043e-08,2.2545979690545412e-08
balanced_contour_3e-13_R4.8,balanced_contour,3e-13,4.8,2.8893897499656305,8.991460744084855e-10,1.2601267705598168e-09,1.1586822590939201e-09,1.2560867073656038e-09
balanced_contour_3e-13_R4.2,balanced_contour,3e-13,4.2,2.502411083027255,2.2582415573841265e-07,3.4950245241797116e-07,3.262566550125409e-07,3.494990205387028e-07
balanced_contour_3e-13_R5.4,balanced_contour,3e-13,5.4,3.339802584028803,4.55185985573104e-11,5.782096425001862e-11,3.533163515191608e-11,5.2960594129727056e-11
balanced_contour_3e-13_R6,balanced_contour,3e-13,6.0,3.868329375050962,9.513673352580634e-11,1.0787692959614953e-10,6.213048179191002e-11,1.090112241536854e-10
